id,EAP,HPL,MWS
id02310,0.030007905416243055,0.030023842823243326,0.9399682517605136
id24541,0.9399640968835343,0.030035624756336744,0.03000027836012881
id00134,0.2199358257394281,0.7500573044391157,0.030006869821456342
id27757,0.9277916821489985,0.042208043214442534,0.030000274636558896
id04081,0.624433725954919,0.10614358391248128,0.2694226901325999
id27337,0.939335529435992,0.030617202295130482,0.030047268268877454
id24265,0.8295051022920771,0.10038028478638614,0.0701146129215369
id25917,0.030005289208037834,0.03001843679053448,0.9399762740014277
id04951,0.9399994432581171,0.030000278370941345,0.030000278370941345
id14549,0.7599491565627579,0.10410743414818573,0.13594340928905654
id22505,0.03025668300200951,0.03141257393192247,0.938330743066068
id24002,0.030000278370941345,0.9399994432581171,0.030000278370941345
id18982,0.2810969898395548,0.6880691042486229,0.03083390591182237
id15181,0.030000278370941345,0.9399994432581171,0.030000278370941345
id21888,0.9168119725687417,0.03728954137179865,0.04589848605945957
id12035,0.03013850292397416,0.030012796166321756,0.9398487009097042
id17991,0.0349578767269709,0.030069658375615364,0.9349724648974138
id10707,0.9399994432581171,0.030000278370941345,0.030000278370941345
id07101,0.9354779436782272,0.03029103649398886,0.034231019827783905
id00345,0.03151102206566224,0.9384855016472996,0.030003476287038283
id05912,0.9046906275981653,0.05279007069989542,0.042519301701939245
id13443,0.9399994432581171,0.030000278370941345,0.030000278370941345
id09248,0.18903924363993804,0.06307984741620955,0.7478809089438524
id17542,0.030640765657391777,0.9392082984602,0.030150935882408168
id06995,0.030005421170267593,0.030000278369368152,0.9399943004603644
id25159,0.8103489383371854,0.04494774446617976,0.14470331719663493
id25729,0.7542296399466992,0.21530635390892244,0.0304640061443785
id26949,0.916566700635158,0.052885047824786875,0.03054825154005523
id27191,0.7997159222729127,0.030033674901108146,0.17025040282597914
id07668,0.030393935847334262,0.030000278250520648,0.9396057859021453
id02230,0.03146631114504195,0.10950749734832924,0.8590261915066288
id15553,0.9399994016272026,0.030000278370928612,0.03000032000186871
id25688,0.030000278370941345,0.9399994432581171,0.030000278370941345
id17545,0.9399994432581171,0.030000278370941345,0.030000278370941345
id13929,0.16350908374807663,0.6876069573728102,0.14888395887911315
id12880,0.0700638007341014,0.8999324231715087,0.030003776094389943
id19282,0.44968497997918566,0.22909975790770168,0.3212152621131127
id14690,0.030273902687078358,0.030017115397801226,0.9397089819151204
id17975,0.030090057515702612,0.9399013554999948,0.030008586984302733
id08037,0.9347077914709406,0.030000276752212784,0.0352919317768466
id15412,0.06397742005588405,0.04804452145888484,0.887978058485231
id25032,0.1271285572061575,0.1562293047555077,0.7166421380383349
id27165,0.9399994432581171,0.030000278370941345,0.030000278370941345
id03327,0.8868473459281612,0.08315134337892632,0.030001310692912578
id18515,0.938734319721458,0.03051573095880028,0.03074994931974176
id21003,0.04596142632780705,0.03009474996521076,0.9239438237069824
id23855,0.030007677369182455,0.9396798325251808,0.03031249010563681
id20724,0.4446774163439945,0.3697081742305699,0.18561440942543564
id13303,0.20560291615306064,0.035862025958581026,0.7585350578883584
id16521,0.03006676397837119,0.8972519054914121,0.07268133053021689
id20775,0.9399994432581171,0.030000278370941345,0.030000278370941345
id13029,0.9399994432581171,0.030000278370941345,0.030000278370941345
id14660,0.8819425539963678,0.08739695673865851,0.03066048926497389
id11028,0.030028129160803736,0.030000560460504876,0.9399713103786914
id14180,0.9394158391641817,0.03058270966459873,0.0300014511712198
id25860,0.9399994432581171,0.030000278370941345,0.030000278370941345
id11910,0.37976890797839225,0.030240127085105956,0.5899909649365019
id08065,0.03924284304187323,0.03074103392319881,0.930016123034928
id22674,0.05752361520861238,0.030000309299820782,0.912476075491567
id25018,0.22867614274251277,0.03051429142320588,0.7408095658342815
id10892,0.030023214975810262,0.9398837693529464,0.030093015671243402
id10217,0.03003327980123002,0.9399664418379237,0.030000278360846136
id12996,0.19176830668469724,0.08781289586017244,0.7204187974551304
id18262,0.825585710292068,0.1302553459646834,0.04415894374324854
id08606,0.030000278370941345,0.9399994432581171,0.030000278370941345
id17233,0.8854382114398685,0.05341793886706785,0.06114384969306373
id00101,0.055771358703569085,0.9077695544032229,0.03645908689320793
id12225,0.8822842519935854,0.07993723529278968,0.03777851271362483
id01364,0.030363202763822754,0.9394787126900311,0.030158084546146078
id24973,0.1396973329612382,0.031596663910700866,0.8287060031280609
id25363,0.31401055591753313,0.030000191491564975,0.6559892525909019
id10061,0.3332463889538856,0.03269350285348948,0.634060108192625
id17673,0.030037014146224138,0.939962707494072,0.030000278359703793
id13249,0.1830340352296458,0.08319726863486682,0.7337686961354873
id10107,0.033987674617363586,0.03000499612069829,0.9360073292619382
id04403,0.9399984300344686,0.0300002783706314,0.030001291594899917
id25728,0.18417922520009733,0.719341539947973,0.09647923485192962
